journal,title,abstract,keywords,year,volume,number,doi,issn,title_length,title_character_length,abstract_length,abstract_character_length,keywords_number,title_word_limit,abstract_word_limit,keywords_limit,structured_abstract,upper,lower,longer,shorter,to_screen
ACTA AMAZONICA,Stem growth of multipurpose tree species: net effect of micrometeorological variability assessed by principal component regression,"In a typical year in the central Amazon, there is a mild dry season, but its effect on stem growth of multipurpose forest tree species is not yet well known. This study aimed to determine the individual effect of microclimatic parameters on stem growth after removing the influence of intercorrelation among microclimatic variables. Monthly stem diameter increment was measured in six species (46 trees) from January 2018 to December 2020. Microclimatic variables recorded were irradiance, air temperature, rainfall, and vapor pressure deficit. Principal component regression was used to assess the effect of micrometeorological variability on stem growth. On average, stem growth increased with an increase in rainfall and soil water content, but decreased with rise in maximum temperature and maximum vapor pressure deficit. These findings indicate that, when removing the effect of intercorrelation between microclimatic parameters, vapor pressure deficit may, in fact, affect stem growth. We demonstrate that the reduction in stem growth during the dry season can also be related to an increase in maximum temperature and maximum vapor pressure deficit, and not only to a decline in soil water content.",Amazon rainforest; growth; ecophysiology; soil water availability,2022,52,4,10.1590/1809-4392202103390,0044-5967,16,130,182,1206,4,NA,250,5,Yes,275,225,no,yes,yes
ACTA AMAZONICA,Genetic diversity in creole genotypes of Amazon chicory,"Amazon chicory is still a little-known vegetable despite its great agronomic potential. The characterization of chicory genotypes concerning genetic divergence is a key step for breeding programs, as it allows the selection of superior individuals and to explore the variability and complementarity of characteristics via interbreeding between newly generated genotypes. In this context, this study aimed to evaluate the genetic divergence among Amazon chicory creole genotypes from the northern Brazilian states of Para and Rondonia based on morpho-agronomic traits. We conducted an experiment in a randomized block design with eight chicory genotypes (treatments) and four replications. Both quantitative and qualitative characteristics were evaluated. Genetic divergence was estimated via squared generalized Mahalanobis distance (D-2), considering only quantitative characters, and the genotypes were subsequently clustered via the UPGMA method. Analysis of variance showed significant differences among genotypes for all studied characteristics, except shoot fresh weight. The UPGMA grouped the genotypes into three clusters, which demonstrated that the genotypes from Colares and Santarem Novo (Para) (Chic-02 and Chic-04) were the most divergent as compared to the genotypes from Castanhal and Santa Isabel do Para (Para). Qualitative characteristics showed a monomorphic behavior and, therefore, were not used to assess genetic divergences. To obtain segregating populations with complementary characteristics, crossbreeding between the two most divergent clusters is recommended.",Eryngium foetidum; non-conventional food plants; genetic variability; plant breeding,2022,52,2,10.1590/1809-4392202102852,0044-5967,8,55,213,1588,4,NA,250,5,Yes,275,225,no,yes,yes
ACTA AMAZONICA,Nutrient requirements of parica (Schizolobium parahyba var. amazonicum): optimizing seedling quality for reforestation programs,"Amazonian reforestation programs emphasize the use of species native to the region. However, reforestation using native species requires the production of high-quality seedlings. The present study aimed to evaluate the development and quality of seedlings of parica (Schizolobium parahyba var. amazonicum), a species native to the Amazon with high potential for reforestation activities. We carried out a greenhouse experiment in which seedlings were subjected to treatments with varying presence of major and micronutrients in the substrate, and evaluated the effect on functional attributes (plant height, stem diameter, specific leaf area, shoot and root dry matter) and physiological response (chlorophyll a, b and carotenoid concentrations). Our results showed that nutrient omission significantly affects parica seedling growth. Considering the assessed biometric and physiological variables, the highest nutritional requirements of seedlings were for N, P, K, micronutrients, Mg and S, while seedling quality was maintained in the absence of Ca. Overall, this species shows efficient use of available nutrients and potential for growth in soils with low concentrations of bases. Therefore, for the production of high-quality parica seedlings, major and micronutrients should be added and lime is essential, but the good seedling performance under Ca omission suggested that this element does not need to be added to the soil.",soil fertility; Amazonian species; deficiency symptoms; nutrient omission; biometric variables,2022,52,2,10.1590/1809-4392202101251,0044-5967,14,127,206,1432,5,NA,250,5,Yes,275,225,no,yes,yes
ACTA AMAZONICA,"Evaluation of fisheries management strategies using a biotic integrity index in floodplain lakes in the lower Solimoes River, Amazonas, Brazil","Fisheries is an important activity in the Amazon basin and potentially has a high impact on ichthyofauna. With the aim of achieving sustainability in fisheries of target species, protected areas were established within a fisheries management framework known as the Amazon Lakes Management System (ALMS). With the aim to evaluate the effect of ALMS on fish assemblages as a whole, we compared floodplain lakes with different levels of fish management in the lower Solim??es River, in the Brazilian Amazon, developing an index of biotic integrity, named ALMS-IBI. We sampled fish in three lake categories: protected (PR), managed (MN), and commercially fished (CM). The ALMS-IBI was developed by selecting and testing fish assemblage metrics based on samplings carried out in 2017 and 2018, using gillnets with different mesh sizes. We captured 4565 fish of 113 species and seven trophic categories. The final index is composed of seven metrics related to species richness, trophic structure, and fish abundance, and characterized the fish assemblage in the PR and MN lakes as acceptable, and in the CM lakes as poor. Our results indicate that the ALMS-IBI can be an efficient method to monitor the whole fish assemblage in Amazonian floodplain lakes, and can be used as a complementary tool in the ALMS to assess environmental sustainability.",environmental quality; multimetric index; bioindicators; Amazon basin,2022,52,4,10.1590/1809-4392202201461,0044-5967,20,142,212,1341,4,NA,250,5,Yes,275,225,no,yes,yes
ACTA AMAZONICA,Phytotechnical performance and resistance to leaf- footed bugs of green maize intercropped with Poaceae in the Amazon savannah,"Green maize has great economic value, and the consumer market increasingly demands the production of ears for fresh consumption that are free from damage by pest attacks. The aim of this study was to evaluate the performance of varieties of AG1051 green maize and Roraima maize (ethnovariety Milh??o) intercropped with dwarf grain sorghum, forage sorghum and millet in an environment of the Amazon savannah. We evaluated phytotechnical characteristics of the maize and damage from the leaf-footed bug (Leptoglossus zonatus). The experiment was set up in a 2 x 4 factorial randomised block design with four replications, where the two maize varieties corresponded to the first factor and four intercropping systems to the second factor. Regarding vegetative and reproductive components, Milh??o had a longer cycle, greater plant growth and smaller stem diameter than AG1051, causing plant lodging. The intercropping systems had no influence on the production or quality of maize ears for any of the cultivars under study. Milh??o did not differ from the AG1051 hybrid in any ear quality variable (ear length, number of grains per ear, cob diameter, ear weight and total number of ears). The AG1051 cultivar was preferred by L. zonatus, but had the highest yield of commercial ears. The intercropping systems had no influence on the damage caused by the leaf-footed bug.",Leptoglossus zonatus; Pennisetum glaucum; Sorghum bicolor; trap plants; Zea mays,2022,52,4,10.1590/1809-4392202102960,0044-5967,18,126,216,1368,5,NA,250,5,Yes,275,225,no,yes,yes
ACTA AMAZONICA,Soil phosphorus fractions and their relation to leaf litterfall in a central Amazonian terra firme rainforest,"Phosphorus (P) cycling is an important yet poorly studied aspect of the macronutrient balance in tropical rainforest ecosystems. As soil P occurs in different organic and inorganic forms (fractions) with varying degrees of lability, we hypothesized that these fractions will vary between soil types, and temporally within soil types. Additionally, we hypothesized a direct influence of leaf litterfall P input on soil total P and soil P fractions. We collected soil and leaf litter samples from three soil types in a central Amazonian lowland rainforest in Brazil over five months, and used a modified Hedleys fractionation method to determine six organic and inorganic soil P fractions, and also total, labile and residual P. Leaf litterfall P concentrations were determined colorimetrically. Soil inorganic and organic P fractions varied between soil types and across months, but soil type and month interactions were mostly non-significant. Some inorganic P fractions (P-i-NaOH) peaked while the organic fractions (P-o-NaOH) fell and vice versa. Leaf litterfall production and leaf litterfall P input peaked around two months following the wettest month. Leaf litterfall P input was a significant predictor of P-o-NaHCO3, a bioavailable P fraction. Future studies on P cycling in terrestrial ecosystems should examine the roles played by individual soil P fractions as they cycle asynchronistically and differently across soil types.",nutrient cycling; leaf litter; tropical soil,2022,52,2,10.1590/1809-4392202103471,0044-5967,16,109,214,1436,3,NA,250,5,Yes,275,225,no,yes,yes
ACTA AMAZONICA,Ecological aspects of Rhinoclemmys punctularia punctularia (Testudines: Geoemydidae) in two localities in northern Brazil,"Rhinoclemmys punctularia punctularia is the only turtle of the family Geoemydidae with part of its range in Brazil. The species is semi-aquatic and widely distributed across the Amazon basin but is still poorly studied. We evaluated aspects of the population structure, habitat use, seasonal activity, and diet of the species during one year, from the beginning of the rainy season to the end of the dry season, in two headwater localities in the Tocantins and Tapaj??s river basins, in the state of Par??, Brazil. We captured 45 individuals, 14 in the Tocantins basin and 31 in the Tapaj??s basin. The size-class frequency distributions of captured individuals did not differ between the two samples. The turtles were most frequently captured in first-order streams, followed by lentic (third-order dammed streams) and second-order streams. The capture rate did not vary significantly between sampling periods (start and peak of the rainy season; start and end of the dry season). The trapping effort to capture a single individual was much higher in the Tapaj??s basin (1,215 trap-hours) than in the Tocantins basin (136 trap-hours). Overall, the low capture rates confirm the secretive nature of the species in Amazonia and its apparent rarity. The individuals analyzed in this study consumed mainly plants.",diet; freshwater turtle; population ecology; seasonality; Amazon basin,2022,52,4,10.1590/1809-4392202201260,0044-5967,14,121,206,1310,5,NA,250,5,Yes,275,225,no,yes,yes
ACTA AMAZONICA,Resistance of acetylated Jacaranda copaia wood to termites and decaying fungi attack,"The natural durability of the wood is essential for the definition of its use, and this property can be enhanced with the proper chemical treatment of the wood. Thus, the objective of this study was to evaluate the resistance to termites and decay fungi of Jacaranda copaia wood chemically modified through acetylation. Five experimental treatments were assessed: acetylation for 2, 4, 6 and 8 hours and a control (non-acetylated). The acetylation was carried out by immersing wood samples in acetic anhydride at 90 degrees C. Acetylated and control samples were subjected to the action of xylophagous termites (Nasutitermes sp.) and decaying fungi (Gloeophyllum trabeum and Trametes versicolor). The acetylation process significantly increased the resistance of Jacaranda copaia wood to the attack of the xylophagous organisms. There was no mass loss after exposure to termites of the wood in any of the acetylation treatments, while in the control wood, mass loss was 9.5\%. Regarding the decaying fungi, mass loss occurred in all treatments. Acetylation for 6 and 8 hours were the most efficient chemical treatments, increasing the resistance dass of the Jacaranda copaia wood to highly resistant.",biodeterioration; xylophagous organisms; Nasutitermes; Gloeophyllum trabeum; Trametes versicolor,2022,52,3,10.1590/1809-4392202200832,0044-5967,12,84,186,1200,5,NA,250,5,Yes,275,225,no,yes,yes
ACTA AMAZONICA,Copaiba oleoresin presents anti-obesogenic effect and mitigates inflammation and redox imbalance in adipose tissue,"Obesogenic diets lead to fat accumulation and dysfunctional adipose tissue. Active compounds were described in copaiba oleoresin, which presents anti-inflammatory, antimicrobial, and antioxidant properties. However, there are no data regarding the effects of copaiba oleoresin in adipose tissue. Therefore, we tested the hypothesis that the copaiba oleoresin could prevent or minimize obesity and adipose tissue inflammation and oxidative stress in response to a high sucrose diet. Male Wistar rats were randomly assigned to receiving commercial chow (C, n = 8), commercial chow and 30\% sucrose added to the drinking water (S, n = 8), or commercial chow and 30\% sucrose added to the drinking water + copaiba oleoresin (S+CO, n = 8). Copaiba oleoresin was given at a dose of 200 mg kg(-1) day(-1) by gavage for eight weeks. C and S animals received vehicle, at equivalent volume, by gavage. At the end of the experiment, blood samples and epididymal adipose tissue were collected for biochemical, inflammatory, and oxidative stress analyses. Copaiba oleoresin supplementation prevented weight gain, adiposity, insulin resistance, and increased IL-1 beta levels. Additionally, copaiba oleoresin partially attenuated the increase in fasting glucose levels, lipids, and IL-6 levels, and improved the redox status in adipose tissue. Our results suggest that the use of copaiba oleoresin could be a good strategy for prevention of obesity and its complications.",natural products; high sucrose diet; obesity; Copaifera,2022,52,4,10.1590/1809-4392202201411,0044-5967,14,114,219,1457,4,NA,250,5,Yes,275,225,no,yes,yes
ACTA AMAZONICA,Insecticidal activity of Piper aduncum oil: variation in dillapiole content and chemical and toxicological stability during storage,"The insecticidal effect of the essential oil of Piper aduncum (EOPA), and of its constituent dillapiole [}1-allyl-2,3-dimethoxy-4,5-(methylenedioxy) benzene] in particular, is well documented in the literature and can be associated with its interference with the enzymatic detoxification in arthropods. However, no data exist on the range of dillapiole content associated with insecticidal activity, which is necessary to establish reliable dose-activity parameters for a formulated product. The oil composition can also change during storage after distillation, mainly due to environmental factors such as light incidence, atmospheric oxygen and temperature, which can be deleterious to oil quality. In this study, EOPA subjected to different storage conditions over four years and its rectified fractions were submitted to bioassays to evaluate their insecticidal effect by topical contact and residual contact against Spodoptera frugiperda. Our objectives were to determine the relationship between dillapiole content and the insecticidal activity of EOPA, and to evaluate its chemical and toxicological properties over time under different conditions. Our results showed that EOPA was stable with respect to the dillapiole content and the toxicological effect against S. frugiperda under different storage conditions for four years. The overall chemical composition of the EOPA did not vary significantly among storage conditions. EOPA with dillapiole content ranging between 68\% and 100\% showed greater insecticidal toxicity by residual and topical contact against S. frugiperda larvae.","chemical and toxicological stability; arylpropanoids; botanical insecticides; terpenoid storage; 1-allyl-2,3-dimethoxy-4,5-(methylenedioxy) benzene",2022,52,3,10.1590/1809-4392202102292,0044-5967,17,131,221,1593,5,NA,250,5,Yes,275,225,no,yes,yes
