journal,title_word_limit,abstract_word_limit,keywords_limit,structured_abstract
INTERNATIONAL JOURNAL OF SUSTAINABLE DEVELOPMENT AND WORLD ECOLOGY,NA,250,8,No
AUSTRALIAN SYSTEMATIC BOTANY,NA,200,NA,No
FIRE-SWITZERLAND,NA,200,10,Other structure requirements
JOURNAL OF BIOGEOGRAPHY,15,300,10,Yes
METHODS IN ECOLOGY AND EVOLUTION,NA,350,8,Yes
PLANT SYSTEMATICS AND EVOLUTION,NA,250,6,No
ECOLOGY,NA,350,12,No
URBAN ECOSYSTEMS,NA,250,6,No
HUMAN-WILDLIFE INTERACTIONS,NA,NA,10,No
ECOLOGY AND SOCIETY,NA,300,NA,No
CONSERVATION BIOLOGY,NA,NA,8,No
AQUATIC INVASIONS,NA,300,7,Other structure requirements
ANNUAL REVIEW OF ECOLOGY EVOLUTION AND SYSTEMATICS,NA,150,6,No
ECOLOGICAL MONOGRAPHS,NA,350,12,No
JOURNAL OF EVOLUTIONARY BIOCHEMISTRY AND PHYSIOLOGY,NA,250,7,Other structure requirements
GLOBAL ECOLOGY AND BIOGEOGRAPHY,NA,300,10,Yes
MARINE ECOLOGY PROGRESS SERIES,20,250,8,No
INSECT SYSTEMATICS AND EVOLUTION,NA,300,8,No
BULLETIN OF THE AMERICAN MUSEUM OF NATURAL HISTORY,NA,NA,NA,No
JOURNAL OF APPLIED ECOLOGY,NA,350,8,Other structure requirements
ANTHROPOLOGICAL SCIENCE,NA,300,5,No
ECOLOGICAL INFORMATICS,NA,400,6,No
ECOLOGICAL APPLICATIONS,NA,350,12,No
EVOLUTION,NA,200,6,No
ECOGRAPHY,NA,300,NA,No
FUNCTIONAL ECOLOGY,NA,350,8,Other structure requirements
BIOLOGY LETTERS,20,200,NA,No
MOLECULAR ECOLOGY RESOURCES,NA,250,6,No
FRONTIERS IN ECOLOGY AND EVOLUTION,NA,NA,8,No
JOURNAL FOR NATURE CONSERVATION,NA,NA,6,No
MARINE BIOLOGY RESEARCH,NA,300,6,No
JOURNAL OF ANIMAL ECOLOGY,NA,350,8,Other structure requirements
SYSTEMATIC BOTANY,NA,300,NA,No
ECOSPHERE,NA,NA,12,No
ECOLOGICAL PROCESSES,NA,350,10,Yes
WILDLIFE BIOLOGY,NA,300,NA,No
GLOBAL CHANGE BIOLOGY,NA,300,10,No
LANDSCAPE ECOLOGY,NA,250,6,Yes
THEORETICAL ECOLOGY,NA,250,6,No
IDEAS IN ECOLOGY AND EVOLUTION,NA,300,6,No
BIOLOGICAL INVASIONS,NA,250,6,No
ECOLOGICAL ENGINEERING,NA,NA,6,No
AQUATIC MICROBIAL ECOLOGY,20,250,8,No
FLORA,NA,NA,6,No
PEOPLE AND NATURE,NA,350,8,Yes
FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,NA,150,NA,No
AQUATIC ECOLOGY,NA,250,6,No
ANIMAL CONSERVATION,NA,300,8,No
NATURE,10,200,NA,No
ECOLOGICAL MODELLING,NA,NA,6,No
AFRICAN JOURNAL OF RANGE AND FORAGE SCIENCE,NA,200,5,No
REMOTE SENSING IN ECOLOGY AND CONSERVATION,NA,300,6,No
ECOSYSTEMS,NA,250,10,No
ECOLOGICAL MANAGEMENT AND RESTORATION,NA,300,10,No
ECOLOGY LETTERS,NA,150,10,No
ECOLOGICAL RESTORATION,NA,250,8,No
SCIENCE,NA,125,NA,No
