journal,n,issn
ACTA AMAZONICA,10,0044-5967
ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY,17,1146-609X
AFRICAN JOURNAL OF ECOLOGY,20,0141-6707
AFRICAN JOURNAL OF RANGE \& FORAGE SCIENCE,7,1022-0119
AMBIENT SCIENCE,19,2348-5191
AMERICAN MIDLAND NATURALIST,7,0003-0031
ANIMAL BIOTELEMETRY,8,NA
ANIMAL CONSERVATION,15,1367-9430
ANNALES ZOOLOGICI FENNICI,8,0003-455X
AOB PLANTS,10,2041-2851
APPLIED VEGETATION SCIENCE,11,1402-2001
AQUATIC ECOLOGY,12,1386-2588
AQUATIC INVASIONS,17,1798-6540
AQUATIC MICROBIAL ECOLOGY,5,0948-3055
ARCTIC SCIENCE,23,NA
ARID ECOSYSTEMS,19,2079-0961
AUSTRALIAN SYSTEMATIC BOTANY,5,1030-1887
BASIC AND APPLIED ECOLOGY,19,1439-1791
BEHAVIORAL ECOLOGY,8,1045-2249
BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,20,0024-4066
BIOTROPICA,19,0006-3606
BULLETIN OF THE PEABODY MUSEUM OF NATURAL HISTORY,3,0079-032X
CHEMISTRY AND ECOLOGY,14,0275-7540
CHEMOECOLOGY,1,0937-7409
CLADISTICS,3,0748-3007
COMMUNITY ECOLOGY,7,1585-8553
CONSERVATION PHYSIOLOGY,9,2051-1434
CONTEMPORARY PROBLEMS OF ECOLOGY,13,1995-4255
DEVELOPMENT GENES AND EVOLUTION,3,0949-944X
ECOGRAPHY,24,0906-7590
ECOHYDROLOGY \& HYDROBIOLOGY,23,1642-3593
ECOLOGICAL COMPLEXITY,1,1476-945X
ECOLOGICAL MONOGRAPHS,6,0012-9615
ECOLOGICAL PROCESSES,8,NA
ECOLOGICAL QUESTIONS,6,1644-7298
ECOLOGICAL RESEARCH,15,0912-3814
ECOLOGICAL RESTORATION,3,1543-4060
ECOLOGY AND SOCIETY,20,1708-3087
ECOSCIENCE,2,1195-6860
ECOSYSTEM HEALTH AND SUSTAINABILITY,10,2096-4129
ECOSYSTEMS,21,1432-9840
ECOTOXICOLOGY,22,0963-9292
EUROPEAN JOURNAL OF SOIL BIOLOGY,13,1164-5563
EUROPEAN JOURNAL OF WILDLIFE RESEARCH,14,1612-4642
EVODEVO,1,NA
EVOLUTION LETTERS,7,NA
EVOLUTION \& DEVELOPMENT,6,1520-541X
EVOLUTIONARY BIOINFORMATICS,3,1176-9343
EVOLUTIONARY BIOLOGY,9,0071-3260
EVOLUTIONARY ECOLOGY,13,0269-7653
FIRE ECOLOGY,7,1933-9747
FOOD WEBS,11,2352-2496
FRESHWATER SCIENCE,7,2161-9549
FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,2,1540-9295
GENOME BIOLOGY AND EVOLUTION,16,1759-6653
HEREDITY,13,0018-067X
HUMAN-WILDLIFE INTERACTIONS,1,1934-4392
INTEGRATIVE ORGANISMAL BIOLOGY,10,NA
INTERCIENCIA,13,0378-1844
INTERNATIONAL JOURNAL FOR PARASITOLOGY-PARASITES AND WILDLIFE,20,2213-2244
INTERNATIONAL JOURNAL OF SUSTAINABLE DEVELOPMENT AND WORLD ECOLOGY,15,1350-4509
INVERTEBRATE SYSTEMATICS,8,1445-5226
ISRAEL JOURNAL OF ECOLOGY \& EVOLUTION,6,1565-9801
JOURNAL OF BIOLOGICAL DYNAMICS,4,1751-3758
JOURNAL OF CHEMICAL ECOLOGY,10,0098-0331
JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,14,0022-0981
JOURNAL OF EXPERIMENTAL ZOOLOGY PART B-MOLECULAR AND DEVELOPMENTAL EVOLUTION,4,1552-5007
JOURNAL OF FRESHWATER ECOLOGY,6,0270-5060
JOURNAL OF HEREDITY,9,0022-1503
JOURNAL OF HUMAN EVOLUTION,14,0047-2484
JOURNAL OF MOLECULAR EVOLUTION,6,0022-2844
JOURNAL OF NATURAL HISTORY,22,0022-2933
JOURNAL OF PLANT ECOLOGY,23,1752-9921
JOURNAL OF SOIL AND WATER CONSERVATION,17,0022-4561
JOURNAL OF SYSTEMATIC PALAEONTOLOGY,9,1477-2019
JOURNAL OF TROPICAL ECOLOGY,4,0266-4674
JOURNAL OF VEGETATION SCIENCE,12,1100-9233
JOURNAL OF WILDLIFE AND BIODIVERSITY,10,NA
JOURNAL OF WILDLIFE MANAGEMENT,22,0022-541X
JOURNAL OF ZOOLOGICAL SYSTEMATICS AND EVOLUTIONARY RESEARCH,2,0947-5745
LANDSCAPE AND ECOLOGICAL ENGINEERING,10,1860-1871
MAMMAL REVIEW,3,0305-1838
MARINE BIOLOGY RESEARCH,17,1745-1000
MOLECULAR ECOLOGY RESOURCES,24,1755-098X
MOVEMENT ECOLOGY,14,2051-3933
NATURAL AREAS JOURNAL,8,0885-8608
NEOBIOTA,14,1619-0033
NEOTROPICAL BIODIVERSITY,6,NA
NEW ZEALAND JOURNAL OF ECOLOGY,7,0110-6465
NORTHEASTERN NATURALIST,22,1092-6194
NORTHWEST SCIENCE,10,0029-344X
ORGANISMS DIVERSITY \& EVOLUTION,12,1439-6092
ORYX,18,0030-6053
PALEOBIOLOGY,1,0094-8373
PEDOBIOLOGIA,7,0031-4056
PEOPLE AND NATURE,15,NA
PERSPECTIVES IN PLANT ECOLOGY EVOLUTION AND SYSTEMATICS,7,1433-8319
PHYTOCOENOLOGIA,2,0340-269X
PLANT ECOLOGY,9,1385-0237
PLANT SPECIES BIOLOGY,6,0913-557X
PLANT SYSTEMATICS AND EVOLUTION,7,0378-2697
PLANTS PEOPLE PLANET,15,NA
POLAR BIOLOGY,18,0722-4060
POLAR RECORD,6,0032-2474
POLAR RESEARCH,2,0800-0395
POLISH JOURNAL OF ECOLOGY,4,1505-2249
POPULATION ECOLOGY,2,1438-3896
RANGELAND ECOLOGY \& MANAGEMENT,13,1550-7424
RANGELAND JOURNAL,3,1036-9872
REMOTE SENSING IN ECOLOGY AND CONSERVATION,14,NA
REVISTA CHILENA DE HISTORIA NATURAL,3,0716-078X
RUSSIAN JOURNAL OF BIOLOGICAL INVASIONS,15,2075-1117
SOIL ECOLOGY LETTERS,1,2662-2289
SOUTH OF RUSSIA-ECOLOGY DEVELOPMENT,15,1992-1098
SOUTHEASTERN NATURALIST,8,1528-7092
SOUTHWESTERN NATURALIST,11,0038-4909
SYSTEMATIC ENTOMOLOGY,9,0307-6970
TAXON,11,0040-0262
THEORETICAL ECOLOGY,5,1874-1738
THEORETICAL POPULATION BIOLOGY,7,0040-5809
TRENDS IN ECOLOGY \& EVOLUTION,24,0169-5347
TROPICAL ECOLOGY,12,0564-3295
TROPICS,2,0917-415X
URBAN ECOSYSTEMS,18,1083-8155
WEB ECOLOGY,2,2193-3081
WESTERN NORTH AMERICAN NATURALIST,15,1527-0904
WILDLIFE BIOLOGY,8,0909-6396
WILDLIFE RESEARCH,19,1035-3712
ZOOLOGICA SCRIPTA,6,0300-3256
