journal,n,issn
AFRICAN JOURNAL OF RANGE \& FORAGE SCIENCE,12,1022-0119
AMERICAN MIDLAND NATURALIST,15,0003-0031
ANIMAL BIOTELEMETRY,20,NA
ANNALES ZOOLOGICI FENNICI,8,0003-455X
AQUATIC INVASIONS,17,1798-6540
AQUATIC MICROBIAL ECOLOGY,7,0948-3055
AUSTRALIAN SYSTEMATIC BOTANY,12,1030-1887
BULLETIN OF THE PEABODY MUSEUM OF NATURAL HISTORY,3,0079-032X
CHEMOECOLOGY,5,0937-7409
CLADISTICS,10,0748-3007
COMMUNITY ECOLOGY,19,1585-8553
DEVELOPMENT GENES AND EVOLUTION,9,0949-944X
ECOLOGICAL COMPLEXITY,4,1476-945X
ECOLOGICAL QUESTIONS,23,1644-7298
ECOLOGICAL RESTORATION,4,1543-4060
ECOSCIENCE,5,1195-6860
EVODEVO,7,NA
EVOLUTION LETTERS,16,NA
EVOLUTION \& DEVELOPMENT,18,1520-541X
EVOLUTIONARY BIOINFORMATICS,15,1176-9343
EVOLUTIONARY BIOLOGY,16,0071-3260
FIRE ECOLOGY,23,1933-9747
FOOD WEBS,24,2352-2496
FRESHWATER SCIENCE,23,2161-9549
FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,22,1540-9295
HUMAN-WILDLIFE INTERACTIONS,1,1934-4392
ISRAEL JOURNAL OF ECOLOGY \& EVOLUTION,10,1565-9801
JOURNAL OF BIOLOGICAL DYNAMICS,16,1751-3758
JOURNAL OF EXPERIMENTAL ZOOLOGY PART B-MOLECULAR AND DEVELOPMENTAL EVOLUTION,13,1552-5007
JOURNAL OF FRESHWATER ECOLOGY,21,0270-5060
JOURNAL OF MOLECULAR EVOLUTION,20,0022-2844
JOURNAL OF SYSTEMATIC PALAEONTOLOGY,23,1477-2019
JOURNAL OF ZOOLOGICAL SYSTEMATICS AND EVOLUTIONARY RESEARCH,11,0947-5745
LANDSCAPE AND ECOLOGICAL ENGINEERING,18,1860-1871
MAMMAL REVIEW,12,0305-1838
NATURAL AREAS JOURNAL,23,0885-8608
NEOTROPICAL BIODIVERSITY,15,NA
NEW ZEALAND JOURNAL OF ECOLOGY,7,0110-6465
NORTHEASTERN NATURALIST,24,1092-6194
NORTHWEST SCIENCE,10,0029-344X
PALEOBIOLOGY,15,0094-8373
PEDOBIOLOGIA,18,0031-4056
PERSPECTIVES IN PLANT ECOLOGY EVOLUTION AND SYSTEMATICS,18,1433-8319
PHYTOCOENOLOGIA,9,0340-269X
PLANT SPECIES BIOLOGY,13,0913-557X
PLANT SYSTEMATICS AND EVOLUTION,22,0378-2697
POLAR RESEARCH,8,0800-0395
POLISH JOURNAL OF ECOLOGY,8,1505-2249
POPULATION ECOLOGY,10,1438-3896
RANGELAND JOURNAL,12,1036-9872
REVISTA CHILENA DE HISTORIA NATURAL,5,0716-078X
SOIL ECOLOGY LETTERS,9,2662-2289
SOUTH OF RUSSIA-ECOLOGY DEVELOPMENT,15,1992-1098
SOUTHWESTERN NATURALIST,11,0038-4909
SYSTEMATIC ENTOMOLOGY,21,0307-6970
THEORETICAL ECOLOGY,11,1874-1738
THEORETICAL POPULATION BIOLOGY,14,0040-5809
TROPICS,9,0917-415X
WEB ECOLOGY,4,2193-3081
WESTERN NORTH AMERICAN NATURALIST,15,1527-0904
WILDLIFE BIOLOGY,12,0909-6396
