journal,n,issn
ANNALES ZOOLOGICI FENNICI,15,0003-455X
AQUATIC MICROBIAL ECOLOGY,15,0948-3055
AUSTRALIAN SYSTEMATIC BOTANY,16,1030-1887
BULLETIN OF THE PEABODY MUSEUM OF NATURAL HISTORY,6,0079-032X
CHEMOECOLOGY,11,0937-7409
CLADISTICS,21,0748-3007
DEVELOPMENT GENES AND EVOLUTION,12,0949-944X
ECOLOGICAL RESTORATION,8,1543-4060
ECOSCIENCE,13,1195-6860
EVODEVO,17,NA
EVOLUTION \& DEVELOPMENT,22,1520-541X
EVOLUTIONARY BIOINFORMATICS,24,1176-9343
HUMAN-WILDLIFE INTERACTIONS,14,1934-4392
ISRAEL JOURNAL OF ECOLOGY \& EVOLUTION,17,1565-9801
JOURNAL OF ZOOLOGICAL SYSTEMATICS AND EVOLUTIONARY RESEARCH,12,0947-5745
MAMMAL REVIEW,23,0305-1838
NORTHWEST SCIENCE,16,0029-344X
PHYTOCOENOLOGIA,12,0340-269X
POLAR RESEARCH,17,0800-0395
POLISH JOURNAL OF ECOLOGY,12,1505-2249
RANGELAND JOURNAL,23,1036-9872
REVISTA CHILENA DE HISTORIA NATURAL,9,0716-078X
SOUTHWESTERN NATURALIST,21,0038-4909
THEORETICAL ECOLOGY,22,1874-1738
TROPICS,9,0917-415X
WEB ECOLOGY,7,2193-3081
